time_s,ag_g_unscaled,ag_g_after_scale,ag_m_per_s2_after_scale
16.97,0.01161207,0.01161207,0.11391440670000001
16.98,0.01092182,0.01092182,0.1071430542
16.990000000000002,0.01080969,0.01080969,0.10604305890000001
17.0,0.01108057,0.01108057,0.1087003917
17.01,0.01151037,0.01151037,0.11291672970000001
17.02,0.01178692,0.01178692,0.1156296852
17.03,0.01143734,0.01143734,0.11220030540000002
17.04,0.01000064,0.01000064,0.09810627840000001
17.05,0.007201727,0.007201727,0.07064894187
17.06,0.002967254,0.002967254,0.02910876174
17.07,-0.002587119,-0.002587119,-0.02537963739
17.080000000000002,-0.009189103,-0.009189103,-0.09014510043000001
17.09,-0.01648507,-0.01648507,-0.16171853670000003
17.1,-0.02413065,-0.02413065,-0.2367216765
17.11,-0.03185759,-0.03185759,-0.3125229579
17.12,-0.03908425,-0.03908425,-0.38341649250000004
17.13,-0.04347027,-0.04347027,-0.4264433487
17.14,-0.04135898,-0.04135898,-0.4057315938
17.150000000000002,-0.0307884,-0.0307884,-0.30203420400000003
17.16,-0.01339474,-0.01339474,-0.1314023994
17.17,0.006568767,0.006568767,0.06443960427
17.18,0.02432137,0.02432137,0.2385926397
17.19,0.03639822,0.03639822,0.35706653820000006
17.2,0.04143851,0.04143851,0.4065117831
17.21,0.03998106,0.03998106,0.3922141986
17.22,0.03382864,0.03382864,0.3318589584
17.23,0.0252438,0.0252438,0.247641678
17.240000000000002,0.01621853,0.01621853,0.1591037793
17.25,0.008021175,0.008021175,0.07868772675
17.26,0.001243322,0.001243322,0.01219698882
17.27,-0.003689827,-0.003689827,-0.03619720287
17.28,-0.006409494,-0.006409494,-0.06287713614
17.29,-0.006784404,-0.006784404,-0.06655500324000001
17.3,-0.005008412,-0.005008412,-0.04913252172
17.31,-0.001512947,-0.001512947,-0.01484201007
17.32,0.003178548,0.003178548,0.03118155588
17.330000000000002,0.008541133,0.008541133,0.08378851473
17.34,0.01389791,0.01389791,0.1363384971
17.35,0.01836913,0.01836913,0.18020116530000002
17.36,0.02118656,0.02118656,0.20784015360000002
17.37,0.02198386,0.02198386,0.21566166660000002
17.38,0.02087582,0.02087582,0.20479179420000002
17.39,0.01834375,0.01834375,0.1799521875
17.400000000000002,0.01502387,0.01502387,0.14738416470000001
17.41,0.01149862,0.01149862,0.1128014622
17.42,0.008158218,0.008158218,0.08003211858
17.43,0.00515801,0.00515801,0.0506000781
17.44,0.002457172,0.002457172,0.024104857320000003
17.45,-7.926315e-05,-7.926315e-05,-0.0007775715015000001
17.46,-0.002431372,-0.002431372,-0.02385175932
17.47,-0.004261939,-0.004261939,-0.041809621590000005
17.48,-0.005109011,-0.005109011,-0.05011939791
17.490000000000002,-0.004646263,-0.004646263,-0.045579840030000006
17.5,-0.002823904,-0.002823904,-0.02770249824
17.51,0.0001350144,0.0001350144,0.0013244912640000002
17.52,0.003776018,0.003776018,0.03704273658
17.53,0.007358742,0.007358742,0.07218925902000001
17.54,0.009754646,0.009754646,0.09569307726000001
17.55,0.009497695,0.009497695,0.09317238795
17.56,0.005368171,0.005368171,0.05266175751
17.57,-0.003081839,-0.003081839,-0.03023284059
17.580000000000002,-0.01540947,-0.01540947,-0.1511669007
17.59,-0.03052584,-0.03052584,-0.2994584904
17.6,-0.04710514,-0.04710514,-0.4621014234
17.61,-0.06360073,-0.06360073,-0.6239231613
17.62,-0.07746609,-0.07746609,-0.7599423429000001
17.63,-0.08565134,-0.08565134,-0.8402396454000001
17.64,-0.08598701,-0.08598701,-0.8435325681000001
17.650000000000002,-0.07808446,-0.07808446,-0.7660085526
17.66,-0.06345116,-0.06345116,-0.6224558796
17.67,-0.04479033,-0.04479033,-0.43939313730000007
17.68,-0.0249684,-0.0249684,-0.24494000400000002
17.69,-0.00625019,-0.00625019,-0.0613143639
17.7,0.01009284,0.01009284,0.09901076040000001
17.71,0.02385062,0.02385062,0.2339745822
17.72,0.03560791,0.03560791,0.34931359710000004
17.73,0.04619775,0.04619775,0.45319992750000004
17.740000000000002,0.05623383,0.05623383,0.5516538723
17.75,0.0659223,0.0659223,0.646697763
17.76,0.07473328,0.07473328,0.7331334768000001
17.77,0.08147741,0.08147741,0.7992933921
17.78,0.0849882,0.0849882,0.833734242
17.79,0.08470978,0.08470978,0.8310029418
17.8,0.08094492,0.08094492,0.7940696652000001
17.81,0.07492627,0.07492627,0.7350267087000001
17.82,0.06844542,0.06844542,0.6714495702000001
17.830000000000002,0.06309243,0.06309243,0.6189367383000001
17.84,0.05943578,0.05943578,0.5830650018
17.85,0.05687243,0.05687243,0.5579185383
17.86,0.05418871,0.05418871,0.5315912451
17.87,0.05022655,0.05022655,0.49272245550000004
17.88,0.04432684,0.04432684,0.4348463004
17.89,0.0365337,0.0365337,0.35839559700000007
17.900000000000002,0.02780439,0.02780439,0.2727610659
17.91,0.01973244,0.01973244,0.19357523640000002
17.92,0.01381244,0.01381244,0.13550003640000002
17.93,0.0108272,0.0108272,0.10621483200000001
17.94,0.01044169,0.01044169,0.1024329789
17.95,0.01131116,0.01131116,0.11096247960000001
17.96,0.01162238,0.01162238,0.1140155478
17.97,0.009758885,0.009758885,0.09573466185
17.98,0.00485843,0.00485843,0.047661198300000006
17.990000000000002,-0.002684585,-0.002684585,-0.02633577885
18.0,-0.01099171,-0.01099171,-0.10782867510000001
18.01,-0.01756813,-0.01756813,-0.17234335530000003
18.02,-0.02043472,-0.02043472,-0.2004646032
18.03,-0.01879909,-0.01879909,-0.1844190729
18.04,-0.01318239,-0.01318239,-0.12931924590000002
18.05,-0.005241127,-0.005241127,-0.05141545587
18.06,0.002646531,0.002646531,0.025962469110000004
18.07,0.008235879,0.008235879,0.08079397299
18.080000000000002,0.01022538,0.01022538,0.10031097779999999
18.09,0.008573271,0.008573271,0.08410378851000001
18.1,0.004240231,0.004240231,0.04159666611
18.11,-0.001363259,-0.001363259,-0.013373570789999999
18.12,-0.006928482,-0.006928482,-0.06796840842
18.13,-0.01161394,-0.01161394,-0.1139327514
18.14,-0.01515899,-0.01515899,-0.14870969190000002
18.150000000000002,-0.01778269,-0.01778269,-0.17444818890000002
18.16,-0.01996073,-0.01996073,-0.1958147613
18.17,-0.0221862,-0.0221862,-0.217646622
18.18,-0.02478935,-0.02478935,-0.24318352350000003
18.19,-0.02786637,-0.02786637,-0.2733690897
18.2,-0.0313141,-0.0313141,-0.307191321
18.21,-0.03491863,-0.03491863,-0.3425517603
18.22,-0.03837082,-0.03837082,-0.3764177442
18.23,-0.04123245,-0.04123245,-0.4044903345
18.240000000000002,-0.043078,-0.043078,-0.42259518
18.25,-0.04367486,-0.04367486,-0.42845037660000007
18.26,-0.04306279,-0.04306279,-0.4224459699
18.27,-0.04151083,-0.04151083,-0.4072212423
18.28,-0.03940214,-0.03940214,-0.3865349934
18.29,-0.03706749,-0.03706749,-0.36363207690000005
18.3,-0.03456108,-0.03456108,-0.33904419480000003
18.31,-0.03165458,-0.03165458,-0.31053142980000004
18.32,-0.02803777,-0.02803777,-0.2750505237
18.330000000000002,-0.02350737,-0.02350737,-0.23060729970000002
